"Data Source","World Development Indicators",

"Last Updated Date","2025-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Barbados","BRB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2798341427.3032","2788959659.38974","2703860925.74376","2776405495.1201","2887119783.06983","2990890495.32387","3156274766.51076","3381114483.43961","3547621140.5356","3591372146.36633","3827978128.38998","3802724007.26117","3882500052.1538","4030793439.2866","4231832854.51582","4481297474.24673","4822999275.39413","5167728018.76648","5238950737.83204","5053208062.59065","5110790706.86454","4994868254.25312","4804968676.88754","4817802961.81197","4759559588.63669","4767319130.3708","4827371003.08876","4811387396.60834","4985523726.5184","5032198879.66173","4399939590.30707","4344630979.18739","5437853799.82122","5784646437.91348","6141299574.30959",
"Brunei Darussalam","BRN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17921687474.4918","19067044657.8709","18892985634.7569","19218257739.3867","19823465676.0282","20511782214.4125","20881599278.6281","22589252740.8072","21322422304.8735","22545500781.9542","23857328787.2475","24752160282.2103","26132586757.3959","27603457262.957","28375370528.1964","29263918756.1241","31402712554.2805","31183790826.5536","30507586037.3342","30141006400.5851","30978818547.18","32155329248.9794","34538026369.9608","33848408526.0745","33820608596.9545","27808119521.7328","26009280737.6903","28268746243.1025","28699081649.9803","31524538071.6881","32164200837.8654","35572916554.9574","36424678708.6173","39527171960.5206","42969581014.7701",
"Bhutan","BTN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","907609988.016101","911460467.987682","947696127.240763","1001007013.94523","1104272872.77192","1147062272.34168","1248851333.17914","1375599275.73319","1376135575.91086","1467516405.82674","1856062353.38333","2038156361.47059","2254204845.00157","2460686479.31926","2655627508.91149","2953603559.32","3247957427.99115","3834926032.25678","4035330839.72591","4316930870.30539","4822146567.6864","5305026900.68185","5709319649.78541","5886692412.62954","6393664243.92203","7070877308.08089","7767567930.1109","8085241618.79008","8318863681.76297","9044743247.8753","9047496314.57885","9846215602.05732","11152433318.6058","12078151337.4668","",
"Botswana","BWA","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7578073855.7153","8815619013.22681","9385809627.20233","10224460012.467","9525222192.12059","10935257731.2429","11222906519.7444","12685790964.2267","13631224030.7519","14038338039.7917","14432306542.7391","15385419388.3134","14736932857.4669","16349933739.2629","17007210017.4975","18835083009.7071","21747088921.9198","24174865879.969","25034277718.9653","22579158243.1694","24389973666.9239","27514779726.137","26800451447.7828","27229384072.7907","31594338668.7767","30117036387.5285","33163187364.1","32569558909.601","32918171740.0772","37332836841.0368","36233164460.3707","43217375062.5464","48822957866.7112","52191280789.6349","51868022480.7111",
"Central African Republic","CAF","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1753958915.23874","1810347914.26005","1733937220.3607","1774386838.41044","1882174949.22504","2071838294.53803","2021060593.64196","2174011364.40514","2295735268.25598","2439623655.05592","2417722134.05275","2597969299.02704","2731657945.29513","2653087280.15699","2863350930.07013","2989693787.6848","3228242364.07066","3473911824.89142","3594573770.07004","3961869981.89122","4226562236.23349","4492422406.61788","4918926831.37993","3324981401.57609","3265039171.08106","3603540434.67345","3942112928.35926","4452407772.46887","4749006361.38565","5230877201.10181","5659466490.56345","6162917245.35656","6538856977.73978","6859914533.47284","7141160820.66385",
"Canada","CAN","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","540027997126.187","548255884420.527","564213883915.699","594099394989.17","632858140939.948","664476771080.469","688470362180.204","731982858070.991","766978272536.716","817932331774.171","877363047705.317","911387800049.817","946440061399.149","998506176807.967","1060259016664.75","1147390008931.78","1221860598242.03","1282434850618.64","1322673547258.16","1284496325205.2","1336628963349.76","1403781260484.68","1442044757903.5","1530453431372.55","1595196682591.57","1570466921580.38","1657591887626.39","1743306959310.54","1821483037220.98","1877057297226.28","1834448846581.77","2159453610338.53","2440621496937.94","2538490602596.39","2661806486385.57",
"Central Europe and the Baltics","CEB","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","791906696459.708","739727775550.012","728621701208.826","757097325850.294","803977760877.532","872710001445.801","912848951483.934","939403992936.435","980371626058.225","1010595957831.19","1071965545605.92","1147497847132.22","1223613530344.55","1284375217678.17","1383941141402.78","1473382177975.69","1622961083904.44","1788048708947.22","1996303847116.27","2003314746813.8","2107424318603.94","2246270074961.47","2328261114288.5","2404273732215.13","2507003287461.43","2611057950807.86","2768915585236.98","2971019575665.08","3188300780881.31","3539113988421.84","3592378180169.06","3896518519674.27","4327358319474.59","4524589572265.56","4828130840467.15",
"Switzerland","CHE","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194652070592.266","199568050445.17","203454006932.258","208961977408.307","214356641018.77","221768772673.489","228200294722.496","241646573378.336","251700235609.285","261380430055.757","280319182516.521","283525361284.3","288737709386.113","302158309982.66","314516531915.321","333621322369.716","370925053381.851","386124159150.376","384345570038.224","416124112903.5","448062844571.02","457549580035.177","483354670209.561","506846623597.975","518723984424.553","546161088699.233","560671216442.423","568390809833.244","580121823006.177","610317495274.777","609053946092.83","679753740848.974","779747146911.629","779844311335.288","820508693380.778",
"Channel Islands","CHI","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI, PPP (current international $)","NY.GNP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56577010672.0039","63327187220.9181","74057574851.4143","82552938829.7112","88589705320.3972","101090634094.304","112621953897.935","123213404525.295","130891151510.637","131558410069.488","140272785066.773","148284305471.164","154513892978.8","162909681465.401","174121563464.166","188981195876.113","228711518848.63","251050128190.79","254057986121.614","252743553342.144","287919841661.65","318741871183.897","353816711374.161","375186612626.904","385025200182.301","395362607123.398","413012764323.289","433363834230.272","458498081292.87","473247900288.57","460414037004.302","533951677658.326","573150951798.862","617022659777.04","649357101015.047",
